,date,price
658,2019.09.20,10285.87226
659,2019.09.21,10188.09791
660,2019.09.202,10074.44442
661,2019.09.23,10074.23825
662,2019.09.24,9804.317166
663,2019.09.25,8744.828449
664,2019.09.26,8515.685285
665,2019.09.27,8271.520758
666,2019.09.28,8285.616764
667,2019.09.29,8261.707373
668,2019.09.30,8314.230997
669,2019.10.01,8497.692035
670,2019.10.02,8393.041645
671,2019.10.03,8414.227171
672,2019.10.04,8260.055631
673,2019.10.05,8215.525931
674,2019.10.06,8161.410161
675,2019.10.07,8308.450221
676,2019.10.08,8332.715171
677,2019.10.09,8627.706208
678,2019.10.10,8625.272834
679,2019.10.11,8721.780721
680,2019.10.12,8415.242222
681,2019.10.13,8470.98789
682,2019.10.14,8390.209042
683,2019.10.15,8410.714714
684,2019.10.16,8216.812217
685,2019.10.17,8134.831449
686,2019.10.18,8138.413712
687,2019.10.19,8082.629308
688,2019.10.20,8281.818637
689,2019.10.21,8296.693977
690,2019.10.22,8296.651151
691,2019.10.23,8092.999492
692,2019.10.24,7532.867656
693,2019.10.25,8691.539998
694,2019.10.26,10021.74398
695,2019.10.27,9749.529666
696,2019.10.28,9805.118089
697,2019.10.29,9516.181048
698,2019.10.30,9426.874217
699,2019.10.31,9383.160892
700,2019.11.01,9275.657271
701,2019.11.02,9377.486567
702,2019.11.03,9379.806872
703,2019.11.04,9505.051676
704,2019.11.05,9457.418435
705,2019.11.06,9423.237037
706,2019.11.07,9368.476223
707,2019.11.08,9272.759419
708,2019.11.09,8891.818311
709,2019.11.10,9103.825844
710,2019.11.11,9081.279281
711,2019.11.12,8853.768178
712,2019.11.13,8836.84179
713,2019.11.14,8826.943659
714,2019.11.15,8730.873427
715,2019.11.16,8591.997241
716,2019.11.17,8727.789227
717,2019.11.18,8653.280158
718,2019.11.19,8408.516128
719,2019.11.20,8237.239874
720,2019.11.21,8110.098131
721,2019.11.22,7697.382714
722,2019.11.23,7442.258933
723,2019.11.24,7408.577369
724,2019.11.25,7319.856804
725,2019.11.26,7320.230351
726,2019.11.27,7619.693585
727,2019.11.28,7730.072666
728,2019.11.29,7781.179679
729,2019.11.30,7836.101812
730,2019.12.01,7571.616194
731,2019.12.02,7474.818864
732,2019.12.03,7418.858908
733,2019.12.04,7539.784746
734,2019.12.05,7743.431725
735,2019.12.06,7546.996698
736,2019.12.07,7589.951765
737,2019.12.08,7634.606642
738,2019.12.09,7618.09167
739,2019.12.10,7424.022864
740,2019.12.11,7324.156407
741,2019.12.12,7266.639458
742,2019.12.13,7293.560661
743,2019.12.14,7308.836327
744,2019.12.15,7181.075529
745,2019.12.16,7171.168703
746,2019.12.17,6964.074958
747,2019.12.18,7324.984873
748,2019.12.19,7346.602393
749,2019.12.20,7257.921919
750,2019.12.21,7223.226278
751,2019.12.22,7518.033063
752,2019.12.23,7656.176191
753,2019.12.24,7535.716694
754,2019.12.25,7357.019963
755,2019.12.26,7388.302536
756,2019.12.27,7363.529235
757,2019.12.28,7399.040889
758,2019.12.29,7513.948409
759,2019.12.30,7454.824027
760,2019.12.31,7335.290051
761,2020.01.01,7254.330611
762,2020.01.02,7212.155253
763,2020.01.03,7413.715099
764,2020.01.04,7427.385794
765,2020.01.05,7544.496872
766,2020.01.06,7781.867183
767,2020.01.07,8178.215873
768,2020.01.08,8396.737881
769,2020.01.09,8082.296074
770,2020.01.10,8166.55414
771,2020.01.11,8218.358937
772,2020.01.12,8200.06347
773,2020.01.13,8197.788179
774,2020.01.14,8879.511527
775,2020.01.15,8890.11742
776,2020.01.16,8846.461099
777,2020.01.17,8958.121952
778,2020.01.18,9012.198106
779,2020.01.19,9164.36226
780,2020.01.20,8745.590797
781,2020.01.21,8755.706296
782,2020.01.22,8792.993871
783,2020.01.23,8687.747088
784,2020.01.24,8514.667035
785,2020.01.25,8458.453015
786,2020.01.26,8602.401246
787,2020.01.27,8977.726962
788,2020.01.28,9358.590317
789,2020.01.29,9406.431793
790,2020.01.30,9553.126133
791,2020.01.31,9521.705926
792,2020.02.01,9439.323332
793,2020.02.02,9468.797618
794,2020.02.03,9540.371738
795,2020.02.04,9331.265817
796,2020.02.05,9701.300037
797,2020.02.06,9824.619261
798,2020.02.07,9834.71679
799,2020.02.08,9876.749341
800,2020.02.09,10129.43516
801,2020.02.10,10165.76536
802,2020.02.11,10210.05264
803,2020.02.12,10393.61172
804,2020.02.13,10457.6272
805,2020.02.14,10321.9958
806,2020.02.15,10341.5559
807,2020.02.16,10053.96901
808,2020.02.17,9938.81578
809,2020.02.18,10161.93531
810,2020.02.19,10191.67585
811,2020.02.20,9643.216731
812,2020.02.21,9723.014985
813,2020.02.22,9698.231123
814,2020.02.23,9937.404106
815,2020.02.24,9951.746149
816,2020.02.25,9652.736865
817,2020.02.26,9354.77831
818,2020.02.27,8932.893047
819,2020.02.28,8890.456005
820,2020.02.29,8775.632012
821,2020.03.01,8726.79676
822,2020.03.02,8921.308395
823,2020.03.03,8901.598683
824,2020.03.04,8843.36575
825,2020.03.05,9142.054296
826,2020.03.06,9167.695796
827,2020.03.07,9163.221096
828,2020.03.08,8914.344155
829,2020.03.09,8177.793224
830,2020.03.10,8136.945223
831,2020.03.11,7950.814356
832,2020.03.12,7929.116019
833,2020.03.13,5838.114937
834,2020.03.14,5625.226505
835,2020.03.15,5836.645006
836,2020.03.16,5385.229522
837,2020.03.17,5371.348516
838,2020.03.18,5331.83386
839,2020.03.19,6329.735948
840,2020.03.20,6844.261528
841,2020.03.21,6378.135171
842,2020.03.22,6359.69729
843,2020.03.23,6443.934547
844,2020.03.24,6789.022724
845,2020.03.25,6892.511359
846,2020.03.26,6735.463879
847,2020.03.27,6793.836197
848,2020.03.28,6467.501165
849,2020.03.29,6250.467309
850,2020.03.30,6517.195789
851,2020.03.31,6504.515324
852,2020.04.01,6612.573791
853,2020.04.02,7088.247324
854,2020.04.03,7003.220784
855,2020.04.04,6878.953518
856,2020.04.05,6883.414143
857,2020.04.06,7271.781153
858,2020.04.07,7427.93934
859,2020.04.08,7356.223864
860,2020.04.09,7341.448314
861,2020.04.10,7303.815198
862,2020.04.11,6926.069634
863,2020.04.12,7119.947062
864,2020.04.13,6965.616638
865,2020.04.14,6958.557224
866,2020.04.15,6928.66437
867,2020.04.16,7134.450528
868,2020.04.17,7167.182988
869,2020.04.18,7269.956531
870,2020.04.19,7280.521782
871,2020.04.20,7240.290597
872,2020.04.21,6934.551871
873,2020.04.22,7145.865745
874,2020.04.23,7491.78493
875,2020.04.24,7574.196026
876,2020.04.25,7641.363977
877,2020.04.26,7700.594295
878,2020.04.27,7795.600835
879,2020.04.28,7814.527141
880,2020.04.29,8871.753727
881,2020.04.30,9440.650673
882,2020.05.01,9048.023833
883,2020.05.02,9007.187803
884,2020.05.03,9167.781344
885,2020.05.04,8956.906519
886,2020.05.05,9062.414564
887,2020.05.06,9411.46787
888,2020.05.07,9992.663921
889,2020.05.08,9996.743353
890,2020.05.09,9913.862993
891,2020.05.10,9595.580629
892,2020.05.11,9033.471176
893,2020.05.12,8949.897979
894,2020.05.13,9317.878554
895,2020.05.14,9793.268209
896,2020.05.15,9755.828498
897,2020.05.16,9564.204989
898,2020.05.17,9823.002288
899,2020.05.18,9906.030203
900,2020.05.19,9836.047524
901,2020.05.20,9804.793888
902,2020.05.21,9555.242175
903,2020.05.22,9232.936093
904,2020.05.23,9302.501649
905,2020.05.24,9288.404016
906,2020.05.25,8951.005638
907,2020.05.26,8991.967626
908,2020.05.27,9203.320515
909,2020.05.28,9546.319602
910,2020.05.29,9573.666817
911,2020.05.30,9704.030309
912,2020.05.31,9700.343895
913,2020.06.01,10199.56497
914,2020.06.02,10182.34071
915,2020.06.03,9682.85947
916,2020.06.04,9887.610629
917,2020.06.05,9869.236906
918,2020.06.06,9773.432016
919,2020.06.07,9768.497902
920,2020.06.08,9782.306497
921,2020.06.09,9836.368969
922,2020.06.10,9908.896559
923,2020.06.11,9938.297674
924,2020.06.12,9540.465393
925,2020.06.13,9493.211715
926,2020.06.14,9482.270936
927,2020.06.15,9504.860065
928,2020.06.16,9579.430375
929,2020.06.17,9540.423271
930,2020.06.18,9482.781986
931,2020.06.19,9440.876034
932,2020.06.20,9394.971594
933,2020.06.21,9401.107497
934,2020.06.22,9655.073218
935,2020.06.23,9670.540762
936,2020.06.24,9680.367146
937,2020.06.25,9340.161506
938,2020.06.26,9310.516382
939,2020.06.27,9207.810983
940,2020.06.28,9197.547017
941,2020.06.29,9237.572755
942,2020.06.30,9217.836013
943,2020.07.01,9309.754864
944,2020.07.02,9274.962923
945,2020.07.03,9202.344384
